filesystem,workload,fio_rw_mode,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets,actual_read_pct,bandwidth_MBps,lat_mean_us,lat_p99_us,lat_p999_us
zlfs,seq_mixed_50r,rw,64k,1,1,212725,3323.853866,554282.311895,831423,1108565,1727579,1.0251,0,49.9,207.7392578125,554.282311895,831.423,1108.565
zlfs,seq_mixed_50r,rw,64k,16,1,165929,2592.677726,12153346.767527,30628334,57004329,68037425,1.025,0,50.0,162.0400390625,12153.346767526999,30628.334,57004.329
zlfs,seq_mixed_50r,rw,128k,1,1,251433,1964.329719,964517.943933,1446777,2225589,3447936,0.994,0,49.9,245.5400390625,964.517943933,1446.777,2225.589
zlfs,seq_mixed_50r,rw,128k,16,1,314017,2453.263119,12866068.357468,90443612,276167393,384989921,1.0251,1,49.9,306.6572265625,12866.068357467999,90443.612,276167.393
zlfs,rand_mixed_70r,randrw,4k,1,1,13969,3492.340114,539584.156517,809376,1079168,1685723,1.015,0,70.0,13.6416015625,539.5841565170001,809.376,1079.168
zlfs,rand_mixed_70r,randrw,4k,16,1,43424,10856.258191,2995356.059192,5720720,9153152,15739711,1.015,0,70.0,42.40625,2995.356059192,5720.72,9153.152
zlfs,rand_mixed_70r,randrw,64k,1,1,192757,3011.838589,643417.554699,965126,1286835,1608544,0.99,0,70.2,188.2392578125,643.417554699,965.126,1286.835
zlfs,rand_mixed_70r,randrw,64k,16,1,266874,4169.928814,7751580.662685,12557561,33705865,40323346,1.0084,0,70.0,260.619140625,7751.580662685001,12557.561,33705.865
zlfs,rand_mixed_70r,randrw,128k,1,1,382019,2984.52795,726415.958401,1089624,1452832,7936104,1.015,1,70.1,373.0654296875,726.415958401,1089.624,1452.832
zlfs,rand_mixed_70r,randrw,128k,16,1,375519,2933.760692,10991211.903443,35425552,66691039,83721304,1.015,1,70.1,366.7177734375,10991.211903443,35425.552,66691.039
zlfs,rand_mixed_50r,randrw,4k,1,1,16588,4146.99862,452466.685273,678700,1592954,5703883,1.0251,0,49.9,16.19921875,452.466685273,678.7,1592.954
zlfs,rand_mixed_50r,randrw,4k,16,1,38364,9591.514766,3447664.982482,7473829,20813195,111697482,1.025,1,50.1,37.46484375,3447.6649824819997,7473.829,20813.195
zlfs,rand_mixed_50r,randrw,64k,1,1,190583,2977.873342,648485.412356,972728,1296971,1621214,1.0251,1,49.9,186.1162109375,648.4854123560001,972.728,1296.971
zlfs,rand_mixed_50r,randrw,64k,16,1,218060,3407.206039,9623615.948325,20056352,89812092,496489316,1.025,0,50.0,212.94921875,9623.615948325001,20056.352,89812.092
zlfs,rand_mixed_50r,randrw,128k,1,1,269348,2104.288119,933307.644627,1399961,1866615,2574720,1.0251,1,49.9,263.03515625,933.307644627,1399.961,1866.615
zlfs,rand_mixed_50r,randrw,128k,16,1,256756,2005.922904,16424849.061621,74317824,128463667,153944064,1.025,1,50.0,250.73828125,16424.849061621,74317.824,128463.667
zlfs,rand_mixed_30r,randrw,4k,1,1,16309,4077.417535,495050.609801,742576,2639360,12214458,1.035,0,30.0,15.9267578125,495.050609801,742.576,2639.36
zlfs,rand_mixed_30r,randrw,4k,16,1,35039,8760.020632,3824554.034087,9265599,16697381,59454259,1.035,1,30.1,34.2177734375,3824.5540340869998,9265.599,16697.381
zlfs,rand_mixed_30r,randrw,64k,1,1,203246,3175.726068,580162.605917,870244,1160325,1782691,1.035,1,30.0,198.482421875,580.162605917,870.244,1160.325
zlfs,rand_mixed_30r,randrw,64k,16,1,138673,2166.773895,15338207.151885,57137859,372682975,428276568,1.035,0,30.0,135.4228515625,15338.207151884999,57137.859,372682.975
zlfs,rand_mixed_30r,randrw,128k,1,1,317578,2481.089831,747361.967608,1121043,1494724,3552186,1.0352,0,29.7,310.134765625,747.361967608,1121.043,1494.724
zlfs,rand_mixed_30r,randrw,128k,16,1,297917,2327.486195,14261570.394118,108353532,334461131,389874809,1.0155,1,29.6,290.9345703125,14261.570394118,108353.532,334461.131
btrfs,rand_write,randwrite,4k,1,1,16623,4155.9922,238721.011597,358400,1482752,7372800,1.0276,0,0.0,16.2333984375,238.721011597,358.4,1482.752
btrfs,rand_write,randwrite,4k,16,1,33162,8290.735463,1927026.805298,3096576,5996544,11337728,1.0548,0,0.0,32.384765625,1927.026805298,3096.576,5996.544
btrfs,rand_write,randwrite,64k,1,1,186954,2921.158527,340320.210408,806912,4358144,17170432,1.0102,0,0.0,182.572265625,340.320210408,806.912,4358.144
btrfs,rand_write,randwrite,64k,16,1,232538,3633.406615,4400852.811507,40108032,183500800,274726912,1.0,2,0.0,227.087890625,4400.852811506999,40108.032,183500.8
btrfs,rand_write,randwrite,128k,1,1,90342,705.80007,1412720.24186,14876672,40632320,113770496,1.0145,38,0.0,88.224609375,1412.72024186,14876.672,40632.32
btrfs,rand_write,randwrite,128k,16,1,64632,504.943274,31328148.584096,154140672,14696841216,17112760320,1.0,6,0.0,63.1171875,31328.148584096,154140.672,14696841.216
btrfs,rand_read,randread,4k,1,1,10874,2718.564072,365314.416982,618496,4751360,22937600,,16,100.0,10.619140625,365.314416982,618.496,4751.36
btrfs,rand_read,randread,4k,16,1,51601,12900.254987,1238260.453573,2113536,2801664,7307264,,0,100.0,50.3916015625,1238.260453573,2113.536,2801.664
btrfs,rand_read,randread,64k,1,1,118611,1853.307335,537028.792597,4816896,15794176,31326208,,95,100.0,115.8310546875,537.028792597,4816.896,15794.176
btrfs,rand_read,randread,64k,16,1,781535,12211.489426,1308500.146015,2244608,2801664,7110656,,0,100.0,763.2177734375,1308.5001460150002,2244.608,2801.664
btrfs,rand_read,randread,128k,1,1,316220,2470.476476,402626.263883,1548288,6848512,17170432,,30,100.0,308.80859375,402.626263883,1548.288,6848.512
btrfs,rand_read,randread,128k,16,1,1644064,12844.257787,1244010.803622,2441216,4816896,6193152,,0,100.0,1605.53125,1244.010803622,2441.216,4816.896
btrfs,seq_mixed_70r,rw,4k,1,1,13066,3266.78666,571075.879012,868352,1835008,10854400,1.0,0,70.0,12.759765625,571.0758790120001,868.352,1835.008
btrfs,seq_mixed_70r,rw,4k,16,1,42579,10644.917754,3002233.433075,5963776,8372224,12517376,1.05,0,70.0,41.5810546875,3002.233433075,5963.776,8372.224
btrfs,seq_mixed_70r,rw,64k,1,1,103888,1623.268837,1267371.418844,2076672,5021696,40009728,1.0,0,70.0,101.453125,1267.371418844,2076.672,5021.696
btrfs,seq_mixed_70r,rw,64k,16,1,141000,2203.139843,14732389.865169998,30801920,40370176,47710208,1.0519,2,70.1,137.6953125,14732.389865169998,30801.92,40370.176
btrfs,seq_mixed_70r,rw,128k,1,1,130994,1023.39883,2058895.612862,4022272,40206336,73465856,1.0887,8,70.0,127.923828125,2058.8956128620002,4022.272,40206.336
btrfs,seq_mixed_70r,rw,128k,16,1,156704,1224.256636,26596176.514039,58195968,156237824,234881024,1.0,0,70.2,153.03125,26596.176514038998,58195.968,156237.824
btrfs,seq_mixed_50r,rw,4k,1,1,13354,3338.783061,595728.86524,972800,8601600,33226752,1.5316,19,49.9,13.041015625,595.72886524,972.8,8601.6
btrfs,seq_mixed_50r,rw,4k,16,1,3033,758.349972,42191537.572824,6160384,7962624,34225520640,1.1404,0,50.0,2.9619140625,42191.537572824,6160.384,7962.624
btrfs,seq_mixed_50r,rw,64k,1,1,58620,915.954202,2177972.78999,3792896,52625408,4344053760,1.0,12,49.9,57.24609375,2177.97278999,3792.896,52625.408
btrfs,seq_mixed_50r,rw,64k,16,1,102816,1606.519674,19908020.239973,47710208,65011712,77594624,1.0655,2,50.0,100.40625,19908.020239973,47710.208,65011.712
btrfs,seq_mixed_50r,rw,128k,1,1,107488,839.758013,2376711.089064,4841472,10043392,19300352,1.0,0,49.9,104.96875,2376.711089064,4841.472,10043.392
btrfs,seq_mixed_50r,rw,128k,16,1,107425,839.272327,38093811.837496,98041856,299368448,417333248,1.0815,4,49.9,104.9072265625,38093.811837495996,98041.856,299368.448
btrfs,rand_mixed_70r,randrw,4k,1,1,12002,3000.549973,617524.090236,1243136,8994816,21757952,1.8556,26,70.0,11.720703125,617.524090236,1243.136,8994.816
btrfs,rand_mixed_70r,randrw,4k,16,1,37309,9327.483625,3428018.601075,6062080,9699328,16678912,1.0,0,70.0,36.4345703125,3428.0186010750003,6062.08,9699.328
btrfs,rand_mixed_70r,randrw,64k,1,1,93508,1461.076946,1443325.873443,3112960,70746112,277544960,1.0502,11,70.2,91.31640625,1443.325873443,3112.96,70746.112
btrfs,rand_mixed_70r,randrw,64k,16,1,150535,2352.132394,13815426.96215,27918336,35717120,42729472,1.089,0,70.0,147.0068359375,13815.42696215,27918.336,35717.12
btrfs,rand_mixed_70r,randrw,128k,1,1,139447,1089.436584,1926012.157974,4743168,13516800,108593152,1.0,2,70.1,136.1787109375,1926.012157974,4743.168,13516.8
btrfs,rand_mixed_70r,randrw,128k,16,1,162141,1266.736663,25700436.711321,51380224,67239936,84410368,1.086,16,70.1,158.3408203125,25700.436711321,51380.224,67239.936
btrfs,rand_mixed_50r,randrw,4k,1,1,13063,3266.036699,608446.332991,1116160,3551232,14778368,1.0,0,49.9,12.7568359375,608.4463329910001,1116.16,3551.232
btrfs,rand_mixed_50r,randrw,4k,16,1,33033,8258.587071000002,3869046.258119,7766016,21626880,116064256,1.1162,22,50.1,32.2587890625,3869.046258119,7766.016,21626.88
btrfs,rand_mixed_50r,randrw,64k,1,1,87842,1372.531373,1451644.8909530002,2867200,4907008,13107200,1.0594,6,49.9,85.783203125,1451.6448909530002,2867.2,4907.008
btrfs,rand_mixed_50r,randrw,64k,16,1,101481,1585.662151,20167544.292689,50069504,133431296,515899392,1.0,0,50.0,99.1025390625,20167.544292689,50069.504,133431.296
btrfs,rand_mixed_50r,randrw,128k,1,1,107745,841.765823,2369664.957764,4087808,25329664,62193664,1.0777,3,49.9,105.2197265625,2369.664957764,4087.808,25329.664
btrfs,rand_mixed_50r,randrw,128k,16,1,111239,869.065468,36796147.213873,83886080,126877696,152043520,1.0881,20,50.0,108.6318359375,36796.147213873,83886.08,126877.696
btrfs,rand_mixed_30r,randrw,4k,1,1,14080,3520.173992,605179.1518860001,931840,3002368,13467648,1.0,0,30.0,13.75,605.1791518860001,931.84,3002.368
btrfs,rand_mixed_30r,randrw,4k,16,1,30253,7563.471826000001,4207009.437496,9437184,42270720,217186304,1.0966,24,30.1,29.5439453125,4207.009437496,9437.184,42270.72
btrfs,rand_mixed_30r,randrw,64k,1,1,74129,1158.292085,1803138.636712,2965504,5931008,21102592,1.0607,6,30.0,72.3916015625,1803.138636712,2965.504,5931.008
btrfs,rand_mixed_30r,randrw,64k,16,1,73612,1150.192491,27701440.569217,140247040,379584512,436207616,1.0,0,30.0,71.88671875,27701.440569217,140247.04,379584.512
btrfs,rand_mixed_30r,randrw,128k,1,1,72161,563.765435,3756218.331485,6864896,102563840,208470016,1.0932,13,29.7,70.4697265625,3756.218331485,6864.896,102563.84
btrfs,rand_mixed_30r,randrw,128k,16,1,77038,601.869907,52631738.11114,114819072,5804916736,5804916736,1.065,16,29.6,75.232421875,52631.738111139995,114819.072,5804916.736
f2fs,rand_write,randwrite,4k,1,1,14623,3655.867207,248075.987104,23936,35072,71168,1.0,0,0.0,14.2802734375,248.075987104,23.936,35.072
f2fs,rand_write,randwrite,4k,16,1,9511,2377.881106,6691829.760471,15794176,19529728,32636928,1.0,0,0.0,9.2880859375,6691.829760471001,15794.176,19529.728
f2fs,rand_write,randwrite,64k,1,1,157944,2467.876606,379112.726094,24960,40192,175104,1.0,0,0.0,154.2421875,379.112726094,24.96,40.192
f2fs,rand_write,randwrite,64k,16,1,75524,1180.073596,13525191.550194,24248320,39059456,10133438464,1.0,0,0.0,73.75390625,13525.191550194,24248.32,39059.456
f2fs,rand_write,randwrite,128k,1,1,217384,1698.315084,562984.7941,24960,46848,209920,1.0,1,0.0,212.2890625,562.9847941,24.96,46.848
f2fs,rand_write,randwrite,128k,16,1,156561,1223.138843,13046164.203115,77070336,212860928,1853882368,1.0,0,0.0,152.8916015625,13046.164203114999,77070.336,212860.928
f2fs,rand_read,randread,4k,1,1,3990,997.700115,942410.748735,2998272,32899072,34340864,,0,100.0,3.896484375,942.4107487350001,2998.272,32899.072
f2fs,rand_read,randread,4k,16,1,18527,4631.968402,3393707.059032,7438336,8028160,14483456,,0,100.0,18.0927734375,3393.707059032,7438.336,8028.16
f2fs,rand_read,randread,64k,1,1,216277,3379.331033,270080.18408,354304,522240,1777664,,0,100.0,211.2080078125,270.08018408,354.304,522.24
f2fs,rand_read,randread,64k,16,1,230071,3594.870256,4360090.702466,11730944,14221312,17694720,,0,100.0,224.6787109375,4360.090702466,11730.944,14221.312
f2fs,rand_read,randread,128k,1,1,369011,2882.905855,320913.06148,370688,528384,1171456,,0,100.0,360.3623046875,320.91306147999995,370.688,528.384
f2fs,rand_read,randread,128k,16,1,570137,4454.2,3524878.058271,4177920,6062080,13828096,,0,100.0,556.7744140625,3524.878058271,4177.92,6062.08
f2fs,seq_mixed_70r,rw,4k,1,1,13340,3335.15,562132.111758,682240,1188352,4319232,1.0,1,70.0,13.02734375,562.132111758,682.24,1188.352
f2fs,seq_mixed_70r,rw,4k,16,1,17604,4401.479926,7203817.202969,8650752,17137664,144703488,1.0,1,70.1,17.19140625,7203.8172029689995,8650.752,17137.664
f2fs,seq_mixed_70r,rw,64k,1,1,193513,3023.648818,695561.653422,320896,616704,1293312,1.0,1,70.0,188.9775390625,695.561653422,320.896,616.704
f2fs,seq_mixed_70r,rw,64k,16,1,97818,1528.423579,20795704.507338,33488896,115736576,225443840,1.0,0,70.0,95.525390625,20795.704507338,33488.896,115736.576
f2fs,seq_mixed_70r,rw,128k,1,1,236781,1849.857507,1308535.067113,528640,1967104,5222400,1.0,0,70.0,231.2314453125,1308.535067113,528.64,1967.104
f2fs,seq_mixed_70r,rw,128k,16,1,132728,1036.950117,31346703.767097,390070272,2919235584,3539992576,1.0,0,70.0,129.6171875,31346.703767097,390070.272,2919235.584
f2fs,seq_mixed_50r,rw,4k,1,1,14875,3719.064047,486497.853031,296320,475392,1561344,1.0,1,49.9,14.5263671875,486.49785303100003,296.32,475.392
f2fs,seq_mixed_50r,rw,4k,16,1,16325,4081.5,7750749.034536,9175040,14548992,123731968,1.0,1,50.0,15.9423828125,7750.749034536,9175.04,14548.992
f2fs,seq_mixed_50r,rw,64k,1,1,174051,2719.564021,682713.579285,455040,995840,2127872,1.0,0,50.0,169.9716796875,682.713579285,455.04,995.84
f2fs,seq_mixed_50r,rw,64k,16,1,135774,2121.493925,14969366.14049,34930688,247988224,490733568,1.0,0,50.0,132.591796875,14969.36614049,34930.688,247988.224
f2fs,seq_mixed_50r,rw,128k,1,1,216436,1690.915454,1129191.739239,812416,2605568,4036608,0.9697,1,50.0,211.36328125,1129.191739239,812.416,2605.568
f2fs,seq_mixed_50r,rw,128k,16,1,270309,2111.79441,15062714.174597,106430464,638582784,1369440256,1.0,1,50.0,263.9736328125,15062.714174597,106430.464,638582.784
f2fs,rand_mixed_70r,randrw,4k,1,1,10508,2627.268636,848063.195858,462208,1061376,1929216,1.0,0,69.9,10.26171875,848.063195858,462.208,1061.376
f2fs,rand_mixed_70r,randrw,4k,16,1,16575,4144.042798,7655521.421955,11010048,27656192,206569472,1.0,0,70.0,16.1865234375,7655.521421955,11010.048,27656.192
f2fs,rand_mixed_70r,randrw,64k,1,1,165642,2588.170592,736355.645933,428416,828928,1625088,0.9429,0,70.0,161.759765625,736.355645933,428.416,828.928
f2fs,rand_mixed_70r,randrw,64k,16,1,229293,3582.720864,8871253.425073,11337728,118489088,135266304,0.9935,1,70.0,223.9189453125,8871.253425073,11337.728,118489.088
f2fs,rand_mixed_70r,randrw,128k,1,1,345000,2695.315235,790986.265814,362880,744192,8641536,1.0,1,70.0,336.9140625,790.986265814,362.88,744.192
f2fs,rand_mixed_70r,randrw,128k,16,1,339130,2649.467527,11968208.517082,35717120,304087040,2009071616,1.0,1,70.0,331.181640625,11968.208517082001,35717.12,304087.04
f2fs,rand_mixed_50r,randrw,4k,1,1,14280,3570.071496,507768.169029,387456,1787648,6401024,1.0,1,50.0,13.9453125,507.768169029,387.456,1787.648
f2fs,rand_mixed_50r,randrw,4k,16,1,16393,4098.59507,7716491.8518,9306112,25296896,116391936,1.0,1,50.0,16.0087890625,7716.4918518,9306.112,25296.896
f2fs,rand_mixed_50r,randrw,64k,1,1,164069,2563.5939900000003,727744.740533,342400,675072,1479680,1.0,1,50.0,160.2236328125,727.744740533,342.4,675.072
f2fs,rand_mixed_50r,randrw,64k,16,1,187740,2933.453327,10799835.675343,20840448,93323264,1468006400,1.0,1,49.9,183.33984375,10799.835675343,20840.448,93323.264
f2fs,rand_mixed_50r,randrw,128k,1,1,243953,1905.892349,995528.154269,478592,954112,2746368,1.0,1,49.9,238.2353515625,995.5281542690001,478.592,954.112
f2fs,rand_mixed_50r,randrw,128k,16,1,232569,1816.959152,17519838.999062,73400320,244318208,11744051200,1.0,1,49.9,227.1181640625,17519.838999062,73400.32,244318.208
f2fs,rand_mixed_30r,randrw,4k,1,1,12899,3224.938753,544555.670781,320896,2903296,13435904,1.0,1,30.0,12.5966796875,544.555670781,320.896,2903.296
f2fs,rand_mixed_30r,randrw,4k,16,1,15303,3825.8,8253820.759677,9895936,17006592,60555264,1.0,1,30.0,14.9443359375,8253.820759677,9895.936,17006.592
f2fs,rand_mixed_30r,randrw,64k,1,1,175469,2741.712914,638178.8665090001,346496,702208,1960960,1.0,1,30.0,171.3564453125,638.178866509,346.496,702.208
f2fs,rand_mixed_30r,randrw,64k,16,1,119721,1870.65,16872027.867073,58195968,1644167168,4596957184,1.0,1,30.0,116.9150390625,16872.027867073,58195.968,1644167.168
f2fs,rand_mixed_30r,randrw,128k,1,1,263461,2058.297085,855314.251818,583040,1516544,4065280,1.0,0,30.0,257.2861328125,855.314251818,583.04,1516.544
f2fs,rand_mixed_30r,randrw,128k,16,1,247129,1930.703465,16321575.006602,128450560,354418688,413138944,0.981,1,30.0,241.3369140625,16321.575006602001,128450.56,354418.688
