filesystem,workload,block_size,queue_depth,bandwidth_MBps_mean,bandwidth_MBps_std,iops_mean,iops_std,lat_mean_us_mean,lat_mean_us_std,lat_p99_us_mean,lat_p99_us_std,lat_p999_us_mean,lat_p999_us_std,write_amplification_mean,write_amplification_std
zlfs,rand_mixed_70r,4k,16,42.40625,,10856.258191,,2995.356059192,,5720.72,,9153.152,,1.015,
zlfs,rand_mixed_70r,64k,1,188.2392578125,,3011.838589,,643.417554699,,965.126,,1286.835,,0.99,
zlfs,rand_mixed_70r,64k,16,260.619140625,,4169.928814,,7751.580662685001,,12557.561,,33705.865,,1.0084,
zlfs,rand_read,128k,1,364.80078125,,2918.416759,,367.647973346,,551.472,,735.296,,,
zlfs,rand_read,128k,16,1524.0712890625,,12192.574378,,1425.177425509,,3020.472,,5959.857,,,
zlfs,rand_read,4k,1,9.7138671875,,2486.939793,,435.425264686,,737.197,,5663.237,,,
zlfs,rand_read,4k,16,46.05078125,,11788.979991,,1475.906399208,,2720.697,,3606.506,,,
zlfs,rand_read,64k,1,197.765625,,3164.246107,,321.913754762,,482.871,,643.828,,,
zlfs,rand_read,64k,16,691.607421875,,11065.720174,,1559.6264366639998,,2889.423,,3731.621,,,
zlfs,rand_write,128k,1,246.57421875,,1972.59297,,457.07676352699997,,685.615,,914.154,,1.02,
zlfs,rand_write,128k,16,177.583984375,,1420.675766,,10591.935293617998,,67577.712,,186643.206,,1.02,
zlfs,rand_write,4k,1,18.1083984375,,4636.009299,,201.805391247,,302.708,,403.611,,1.02,
zlfs,rand_write,4k,16,36.125,,9248.315409,,1629.0329694270001,,2827.142,,5474.783,,1.02,
zlfs,rand_write,64k,1,203.6591796875,,3258.552337,,287.693373747,,431.54,,575.387,,1.02,
zlfs,rand_write,64k,16,253.31640625,,4053.065079,,3720.308562305,,22138.466,,35660.881,,1.02,
zlfs,seq_mixed_50r,128k,1,245.5400390625,,1964.329719,,964.517943933,,1446.777,,2225.589,,0.994,
zlfs,seq_mixed_50r,128k,16,306.6572265625,,2453.263119,,12866.068357467999,,90443.612,,276167.393,,1.0251,
zlfs,seq_mixed_50r,4k,1,17.75390625,,4545.443797,,394.978454936,,592.468,,789.957,,1.0251,
zlfs,seq_mixed_50r,4k,16,19.4833984375,,4988.00115,,6292.68733497,,10194.153,,13592.205,,1.025,
zlfs,seq_mixed_50r,64k,1,207.7392578125,,3323.853866,,554.282311895,,831.423,,1108.565,,1.0251,
zlfs,seq_mixed_50r,64k,16,162.0400390625,,2592.677726,,12153.346767526999,,30628.334,,57004.329,,1.025,
zlfs,seq_mixed_70r,128k,1,269.662109375,,2157.303825,,1094.896688809,,1642.345,,2189.793,,1.015,
zlfs,seq_mixed_70r,128k,16,178.4345703125,,1427.488135,,22253.943613788,,52590.152,,141187.976,,1.0149,
zlfs,seq_mixed_70r,4k,1,15.9677734375,,4087.893355,,447.522652079,,671.284,,946.067,,1.015,
zlfs,seq_mixed_70r,4k,16,50.9658203125,,13047.475691,,2390.127587497,,5127.689,,7198.487,,1.015,
zlfs,seq_mixed_70r,64k,1,231.6298828125,,3706.086356,,553.748112433,,830.622,,1107.496,,1.015,
zlfs,seq_mixed_70r,64k,16,168.7587890625,,2700.161582,,11728.698727611,,26483.67,,34710.512,,1.015,
